Column1,DIRECTORIO,DIRECTORIO_HOG,DIRECTORIO_PER,NVCAP99,DPTOMPIO,FEX_C,LOCALIDAD_TEX,COD_UPZ,CODLOCALIDAD,NVCBP1,NVCBP2,NVCBP3,NVCBP4,NVCBP5,NVCBP6,NVCBP7,NVCBP8A,NVCBP8B,NVCBP8C,NVCBP8E,NVCBP8F,NVCBP10,NVCBP11AA,NVCBP11DA,NVCBP13,NVCBP14A,NVCBP14C,NVCBP14D,NVCBP14E,NVCBP14F,NVCBP14G,NVCBP14I,NVCBP14K,NVCBP15A,NVCBP15C,NVCBP15D,NVCBP15E,NVCBP15F,NVCBP15G,NVCBP15H,NHCCP1,NHCCP2,NHCCP3,NHCCP5,NHCCP6,NHCCP7,NHCCP9,NHCCP10,NHCCP11,NHCCP12,NHCCP14,NHCCP14A,NHCCP15A,NHCCPCTRL2,NHCCP19,NHCCP20,NHCCP20A,NHCCP24,NHCCP26,NHCCP26A,NHCCP28A,NHCCP29A,NHCCP32,NHCCP35A,NHCCP38,NHCCP393,NHCCP39C,NHCCP39D,NHCCP39E,NHCCP39F,NHCCP39G,NHCCP399,NHCCP40A,NHCCP40D,NHCCP40E,NHCCP40F,NHCCP40G,NHCCP40H,NHCCP40I,NHCCP40J,NHCCP40K,NHCCP40L,NHCCP41,NHCCP41A,NHCCP41B,NHCCP42,NHCCP42A,NHCCP42CB,NHCCP44,NHCCP44B,NHCCP45,NHCCP45A,NHCCP45B,NHCCP46A,NHCCP46B,NHCCP46C,NHCCP46D,NHCCP46E,NHCCP46F,NHCCP46G,NHCCP46H,NHCCP46I,NHCCP46J,NHCCP46K,NHCCP46L,NHCCP46M,NHCDP1,NHCDP2,NHCDP2A,NHCDP2B,NHCDP3,NHCDP4,NHCDP4A,NHCDP4B,NHCDP5,NHCDP6,NHCDP6A,NHCDP6B,NHCDP7,NHCDP7A,NHCDP10,NHCDP10A,NHCDP11,NHCDP11B,NHCDP13,NHCDP15,NHCDP17,NHCDP17A,NHCDP18,NHCDP18B,NHCDP20,NHCDP21,NHCDP23,NHCDP23B,NHCDP24,NHCDP25,NHCDP25A,NHCDP26,NHCDP26A,NHCDP27,NHCDP27B,NHCDP29,NHCDP29B,NHCDP30A,NHCDP30B,NHCDP31,NHCDP32,NHCDP32B,ORDEN.E,NPCEP4,NPCEP5,NPCEP6,NPCEP7,NPCEP8A,NPCEP9,NPCEP9A,NPCEP9B,NPCEP10,NPCEP11A,NPCEP11AA,NPCEP11AB,NPCEP11AC,NPCEP11,NPCEP13,NPCEP13A,NPCEP13B,NPCEP13C,NPCEP15,NPCEP16A1,NPCEP16AA,NPCEP16AB,NPCEP16B1,NPCEP18,NPCEP19,NPCEP21,NPCEP21A,NPCEP22,NPCEP22A,NPCEP24,NPCEP24A,NPCEP25,NPCEP25A,NPCEP26,NPCEP5A,ORDEN.F,NPCFP2,NPCFP3,NPCFP5,NPCFP7,NPCFP8,NPCFP8A,NPCFP9,NPCFP11,NPCFP11A,NPCFP12,NPCFP14A,NPCFP14B,NPCFP14D,NPCFP14E,NPCFP14J,NPCFP15,NPCFP16,NPCFP18,NPCFP19,NPCFP20,NPCFP22,NPCFP23,NPCFP24,NPCFP24A,NPCFP24B,NPCFP26,NPCFP26A,NPCFP27,NPCFP29,NPCFP30,NPCFP32,NPCFP33A,NPCFP33AA,NPCFP33B,NPCFP33BA,NPCFP33C,NPCFP33CA,NPCFP33DA,NPCFP33E,NPCFP33EA,NPCFP33FA,NPCFP34,NPCFP35A,NPCFP35AA,NPCFP35BA,NPCFP36,NPCFP37,NPCFP39,NPCFP39A,NPCFP40A,NPCFP40B,NPCFP40C,NPCFP40D,NPCFP40E,NPCFP40F,NPCFP40,NPCFP42,NPCFP43A,NPCFP44,NPCFP45,ORDEN.G,ORDEN.H,NPCHP2,NPCHP3,NPCHP4,NPCHP4A,NPCHP5,NPCHP6,NPCHP6A,NPCHP7,NPCHP10,NPCHP10A,NPCHP11,NPCHP11A,NPCHP12,NPCHP13A,NPCHP13B,NPCHP14,NPCHP15A,NPCHP15B,NPCHP16,NPCHP17,NPCHP19B,NPCHP20,NPCHP20A,NPCHP20B,NPCHP21A,NPCHP21AA,NPCHP21B,NPCHP21BA,NPCHP21CA,NPCHP22,NPCHP22A,NPCHP23,NPCHP23A,NPCHP24AA,NPCHP24AB,NPCHP24BA,NPCHP24BB,NPCHP28A,NPCHP28B,NPCHP31AA,NPCHP31AB,NPCHP31BA,NPCHP31BB,NPCHP31CA,NPCHP31CB,NPCHP31DA,NPCHP31DB,NPCHP31EA,NPCHP31EB,NPCHP31FA,NPCHP31FB,NPCHP32,NPCHP32A,NPCHP33,NPCHP34,NPCHP34A,NPCHP35A,NPCHP35C,NPCHP35E,NPCHP35I
1,101033,1010331,10103311,06SEP2017:00:00:00,11001,67.669.040.773,SUBA,19.0,11.0,2,1.0,1,1,1,7,1.0,2,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,1.0,3.1e+08,2015.0,2.7e+08,1100000,,2,1.0,1,225000,,1,4,1,1,,2.0,,,,2.0,2.0,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1.0,0.0,1.0,1.0,,2,,1,1.0,0.0,3.0,2.0,2,60,2,1,1,2,15,120,20,5,20,1,30000,2.0,2.0,1,30000,2.0,2.0,1,30000,2.0,2.0,2.0,,2.0,,60000,2.0,2.0,1,2.0,,10000,2.0,1.0,1,46000,2.0,2,1,1.0,2,,1,1.0,46000,2.0,,,1.0,46000,2.0,1,39,1,1,5.0,,3,15.0,15001.0,1.0,2,15.0,15001.0,,2,3.0,11.0,11001.0,,1.0,,,,,,,2,,9.0,1.0,2,,9.0,1.0,2.0,1,1,1.0,,"8,00E+05",2.0,9.0,,20.0,160000,1.0,2,2,2,2,2,2,3,1,2.0,2.0,1.0,,,,,,2,,,,1,1.0,2,,2,,2,,,2,,,0,2,,,2.0,,,,,,,1.0,2.0,2.0,,,,,,,1.0,2.0,,11.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,5.0,8.0,30.0,12.0,,,0.0,0.0,5.0,5.0,,,,,,2.0,2.0,2.0,1.0
2,101041,1010411,10104112,06SEP2017:00:00:00,11001,31.957.989.722,USAQUEN,11.0,1.0,4,2.0,1,2,1,1,,2,2,2,2,2,2,3.0,5.0,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,,,,,,,"8,00E+05",2,3.0,3,,,3,1,1,1,,2.0,,,,1.0,1.0,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,,,,,,2,,2,,,5.0,5.0,5,20,10,2,2,5,15,20,40,3,15,1,93970,1.0,1.0,1,22261,1.0,1.0,1,45350,1.0,1.0,2.0,,2.0,,99250,1.0,2.0,1,2.0,,59640,1.0,1.0,2,,,2,2,,2,,2,,,,,,3.0,,,2,22,2,2,1.0,1.0,2,,,2.0,1,,,,1,,,,,,1.0,,,,,,2,,2.0,,2,,1.0,4.0,1.0,2,2,,6.0,,,,,,,,3,2,2,2,1,1,2,2,,,,,,,,,2,,,,2,,1,0,1,0,2,,,1,0,,0,2,,,4.0,3.0,,,1.0,,,1.0,1.0,2.0,1.0,,19.0,1.0,1.0,,2.0,2.0,2.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,0.0,8.0,10.0,,,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
3,101042,1010421,10104213,08SEP2017:00:00:00,11001,27.511.113.301,USAQUEN,11.0,1.0,2,1.0,1,2,1,3,,2,2,2,2,2,2,3.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,1.2e+08,1986.0,,"8,00E+05",,2,1.0,1,65000,,5,4,3,3,,2.0,,,,1.0,1.0,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,,,,,,2,,1,1.0,0.0,5.0,2.0,5,20,2,2,2,4,15,15,15,2,10,1,150000,2.0,1.0,1,63446,2.0,1.0,1,22670,2.0,1.0,2.0,,2.0,,353750,1.0,2.0,1,2.0,,66820,1.0,1.0,1,20225,1.0,2,2,,2,,2,,,,,,1.0,62578,1.0,3,29,2,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,1,1.0,,,1,2.0,,,1.0,2,3,3.0,,,2.0,2.0,,10.0,,,2,2,2,2,2,2,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,1.0,,,,1.0,,,1.0,2.0,2.0,1.0,,21.0,,,,3.0,2.0,5.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,0.0,40.0,14.0,,,6.0,6.0,2.0,2.0,,,,,,1.0,2.0,2.0,2.0
4,101047,1010471,10104713,11SEP2017:00:00:00,11001,2.547.837.194,USAQUEN,11.0,1.0,4,1.0,1,2,1,2,,1,1,1,2,1,1,3.0,3.0,4,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,,1.0,"3,00E+08",1980.0,,"9,00E+05",,1,,3,,,3,3,3,2,,2.0,,,,1.0,1.0,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,,,,,,2,,1,3.0,3.0,5.0,1.0,2,30,10,1,10,10,15,15,15,2,15,1,36719,2.0,1.0,1,33966,2.0,1.0,1,95760,2.0,1.0,2.0,,2.0,,50230,1.0,1.0,1,2.0,,71400,1.0,1.0,1,67441,2.0,1,1,3.0,1,2.0,1,2.0,67441,2.0,,,1.0,22000,2.0,3,11,1,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,1,1.0,,,1,2.0,,,,1,3,1.0,,,1.0,3.0,3.0,15.0,,,2,2,1,2,2,2,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,1,170000,,1.0,,,,,,,,,,,,,,,,3.0,1.0,,,,,2.0,5.0,,2.0,,1.0,85000,1.0,,,1.0,"1,11848E+11",,,1.0,40.0,2.0,,,2.0,,1.0,"1,00E+05",,1.0,20000,2.0,,,,,,,,5.0,12.0,5.0,0.0,8.0,12.0,7.0,2.0,7.0,7.0,0.0,0.0,1.0,2.0,,,,,,,
5,101059,1010591,10105914,09SEP2017:00:00:00,11001,16.737.023.951,SUBA,18.0,11.0,4,1.0,1,1,1,3,,2,2,2,2,2,1,3.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,860000,1.0,2.4e+08,2015.0,1.85e+08,"7,00E+05",,2,1.0,1,162000,,5,4,4,4,,2.0,,,,2.0,2.0,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1.0,0.0,1.0,1.0,,1,0.0,1,1.0,1.0,3.0,3.0,10,10,5,15,5,10,10,10,10,10,40,1,59542,2.0,1.0,1,58888,2.0,1.0,1,21880,2.0,1.0,2.0,,2.0,,164000,1.0,1.0,1,2.0,,36130,1.0,1.0,1,30866,1.0,1,1,3.0,1,1.0,1,1.0,36100,1.0,2.0,1.0,1.0,42830,1.0,4,37,2,9,5.0,,3,15.0,15673.0,2.0,2,15.0,15673.0,,2,2.0,,,,,2.0,1.0,19.0,7.0,,,1,5.0,,,2,,1.0,3.0,1.0,2,4,,1.0,,,,,,,,3,2,1,1,2,1,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,1.0,,,,1.0,,,1.0,2.0,2.0,2.0,,,,,,4.0,2.0,,13.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,30.0,10.0,,,0.0,0.0,10.0,10.0,,,,,,2.0,2.0,2.0,1.0
6,101059,1010591,10105915,09SEP2017:00:00:00,11001,16.737.023.951,SUBA,18.0,11.0,4,1.0,1,1,1,3,,2,2,2,2,2,1,3.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,860000,1.0,2.4e+08,2015.0,1.85e+08,"7,00E+05",,2,1.0,1,162000,,5,4,4,4,,2.0,,,,2.0,2.0,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1.0,0.0,1.0,1.0,,1,0.0,1,1.0,1.0,3.0,3.0,10,10,5,15,5,10,10,10,10,10,40,1,59542,2.0,1.0,1,58888,2.0,1.0,1,21880,2.0,1.0,2.0,,2.0,,164000,1.0,1.0,1,2.0,,36130,1.0,1.0,1,30866,1.0,1,1,3.0,1,1.0,1,1.0,36100,1.0,2.0,1.0,1.0,42830,1.0,5,86,1,6,6.0,,2,,,1.0,1,,,,2,2.0,,,,,2.0,1.0,19.0,3.0,,,3,,10.0,,2,,10.0,,2.0,1,5,1.0,,,2.0,5.0,5.0,10.0,50000,1.0,3,1,1,1,2,1,1,2,,,,1.0,2.0,1.0,4.0,,1,2.0,1800000,3.0,2,,1,11300,1,36000,2,,,1,56000,,"4,00E+05",2,,"6,00E+05",4.0,1.0,,,,,2.0,1.0,2.0,2.0,,,,,,,5.0,2.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,60.0,24.0,,,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
7,101063,1010631,10106311,10SEP2017:00:00:00,11001,14.601.274.584,SUBA,18.0,11.0,4,1.0,1,1,1,3,,2,1,2,2,1,1,3.0,3.0,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,,1.0,"2,00E+08",1991.0,,"5,00E+05",,1,,1,"5,00E+05",,3,5,3,3,,2.0,,,,2.0,1.0,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1.0,0.0,2.0,,,2,,2,,,20.0,6.0,10,15,5,3,4,10,20,10,10,8,15,1,69489,2.0,1.0,1,41212,2.0,1.0,1,1053,2.0,1.0,2.0,,2.0,,55910,1.0,2.0,1,2.0,,25000,2.0,1.0,1,70580,1.0,2,1,1.0,1,3.0,1,1.0,46000,1.0,,,1.0,62000,2.0,1,65,2,1,3.0,,3,25.0,25841.0,1.0,1,,,,2,2.0,,,,,1.0,,,,,,3,,2.0,,2,,2.0,,1.0,2,1,2.0,,,2.0,2.0,,60.0,"3,00E+05",1.0,2,2,1,1,1,2,1,2,,,,,,,,,2,,,,2,,2,,1,0,2,,,2,,,15000,1,1500000,,2.0,,,,2.0,2.0,,1.0,2.0,1.0,,,,,,,1.0,2.0,,11.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,20.0,14.0,,,0.0,0.0,10.0,1.0,,,,,,2.0,2.0,2.0,2.0
8,101089,1010891,10108911,05SEP2017:00:00:00,11001,19.520.712.835,SUBA,28.0,11.0,2,1.0,1,2,2,3,,2,1,2,1,1,1,2.0,3.0,4,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,,1.0,1.5e+08,1998.0,,850000,,2,2.0,3,,,4,4,3,3,,2.0,,,,2.0,2.0,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,,,,,,2,,1,1.0,1.0,5.0,5.0,3,60,3,3,3,20,30,25,25,5,45,1,160000,2.0,2.0,1,18000,2.0,2.0,1,5000,2.0,2.0,2.0,,2.0,,160000,2.0,1.0,1,2.0,,28000,2.0,1.0,1,56000,2.0,1,2,,2,,1,2.0,56000,2.0,,,1.0,38000,2.0,1,52,2,1,2.0,2.0,3,25.0,25279.0,1.0,1,,,,1,,,,,,1.0,,,,,,3,,1.0,2.0,3,,1.0,2.0,1.0,2,1,1.0,,92000,2.0,5.0,5.0,90.0,,,3,1,1,2,1,1,2,2,,,,,,,,,1,2.0,0,2.0,2,,2,,2,,2,,,2,,,"2,00E+05",1,250000,,4.0,3.0,,,1.0,2.0,,1.0,2.0,1.0,,,,,,,1.0,2.0,,9.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,30.0,12.0,,,0.0,0.0,2.0,0.0,,,,,,2.0,2.0,2.0,2.0
9,101089,1010891,10108914,05SEP2017:00:00:00,11001,19.520.712.835,SUBA,28.0,11.0,2,1.0,1,2,2,3,,2,1,2,1,1,1,2.0,3.0,4,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,,1.0,1.5e+08,1998.0,,850000,,2,2.0,3,,,4,4,3,3,,2.0,,,,2.0,2.0,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,,,,,,2,,1,1.0,1.0,5.0,5.0,3,60,3,3,3,20,30,25,25,5,45,1,160000,2.0,2.0,1,18000,2.0,2.0,1,5000,2.0,2.0,2.0,,2.0,,160000,2.0,1.0,1,2.0,,28000,2.0,1.0,1,56000,2.0,1,2,,2,,1,2.0,56000,2.0,,,1.0,38000,2.0,4,15,1,3,5.0,,2,,,1.0,1,,,,1,,,,,,2.0,2.0,,12.0,,,1,2.0,,,1,1.0,,,,1,4,1.0,,,2.0,3.0,6.0,40.0,,,2,2,2,2,2,2,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,2.0,,,,,,,1.0,2.0,2.0,,,,2.0,,,4.0,1.0,,,,,4.0,10.0,,1.0,180000,2.0,,1.0,,,11.0,98,,,1.0,3.0,2.0,,,1.0,366000,1.0,"5,00E+05",,2.0,,2.0,,,,,,,,4.0,1.0,4.0,5.0,25.0,14.0,40.0,0.0,8.0,40.0,0.0,0.0,1.0,1.0,,,,,,,
10,101142,1011422,10114221,04SEP2017:00:00:00,11001,11.683.562.402,TEUSAQUILLO,101.0,13.0,4,1.0,1,2,1,3,,2,1,2,1,2,1,4.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,450000,1,,3,,,3,2,1,1,,2.0,,,,1.0,1.0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,,,,,,2,,2,,,10.0,5.0,5,99,5,5,10,5,10,30,40,3,30,1,70000,2.0,2.0,1,30000,2.0,2.0,1,10000,2.0,2.0,1.0,2.0,1.0,2.0,70000,2.0,1.0,1,1.0,2.0,15000,2.0,1.0,2,,,1,1,1.0,2,,1,1.0,40000,2.0,,,1.0,10000,2.0,1,26,2,1,6.0,2.0,3,17.0,17653.0,1.0,2,17.0,17653.0,,2,2.0,,,,,1.0,,,,,,2,,2.0,,2,,2.0,,1.0,2,1,1.0,,,2.0,2.0,,30.0,,,2,2,2,2,2,2,2,2,,,,,,,,,2,,,,1,4.0,2,,2,,2,,,2,,,15000,2,,,1.0,,,,1.0,,,1.0,1.0,2.0,1.0,,19.0,2.0,,,1.0,2.0,3.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,5.0,2.0,35.0,14.0,,,5.0,5.0,3.0,1.0,,,,,,2.0,2.0,2.0,2.0
11,101158,1011582,10115822,04SEP2017:00:00:00,11001,24.327.686.047,ENGATIVA,810.0,10.0,2,1.0,1,2,1,2,,2,2,2,2,2,2,3.0,2.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,"6,00E+05",1,,3,,,2,1,1,1,,2.0,,,,1.0,1.0,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,2.0,2.0,2,2,15,3,3,10,15,40,40,2,30,2,,,,2,,,,2,,,,,,,,,,1.0,1,,,,,1.0,2,,,2,2,,2,,1,1.0,47000,1.0,,,1.0,45000,1.0,2,18,1,3,5.0,,2,,,1.0,1,,,,1,,,,,,2.0,1.0,5.0,8.0,,,2,,3.0,5.0,1,1.0,,,2.0,1,2,1.0,,,2.0,3.0,5.0,60.0,25000,1.0,1,2,1,2,2,1,1,1,5.0,1.0,2.0,1.0,3.0,1.0,1.0,,1,3.0,60000,2.0,2,,1,20000,2,,2,,,2,,,250000,1,1500000,,1.0,,,,,,,1.0,2.0,2.0,,,,1.0,2.0,,2.0,1.0,,,,,4.0,10.0,,1.0,450000,2.0,,2.0,,,10.0,,"3,11001E+11",,4.0,7.0,2.0,,,1.0,89000,1.0,1300000,120000,2.0,,1.0,"1,00E+05",,,,,,,15.0,6.0,15.0,12.0,35.0,20.0,0.0,0.0,13.0,0.0,3.0,2.0,,,,,,1.0,2.0,1.0,2.0
12,101189,1011891,10118916,08SEP2017:00:00:00,11001,34.452.684.873,SAN CRISTOBAL,32.0,4.0,2,1.0,1,2,2,3,,2,2,2,2,2,2,2.0,3.0,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,,,,,,,"4,00E+05",1,,3,,,6,4,3,3,,2.0,,,,2.0,2.0,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,,,,,,2,,1,1.0,1.0,5.0,5.0,1,60,2,5,5,30,5,20,20,20,20,1,80000,2.0,2.0,1,40000,2.0,2.0,1,30000,2.0,2.0,2.0,,2.0,,32740,1.0,1.0,1,2.0,,42170,1.0,1.0,2,,,2,1,1.0,2,,1,2.0,60000,2.0,,,1.0,25000,2.0,6,17,2,14,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,10.0,,2,,2.0,,,2,6,3.0,,,2.0,3.0,5.0,10.0,,,3,2,1,2,1,2,3,2,,,,,,,,,2,,,,2,,1,0,2,,1,0,,2,,,0,1,270000,,2.0,,,,2.0,,,1.0,2.0,2.0,2.0,,,1.0,2.0,,6.0,1.0,,,,,4.0,11.0,,2.0,,2.0,,1.0,,,4.0,"1,11001E+11",,,1.0,15.0,2.0,,,2.0,,1.0,150000,,1.0,15000,2.0,,,,,,,,0.0,4.0,0.0,0.0,20.0,10.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,4.0,,,,,,,
13,101200,1012001,10120013,04SEP2017:00:00:00,11001,18.603.916.274,USME,812.0,5.0,1,,2,2,1,1,,1,1,1,1,2,1,1.0,3.0,4,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,,1.0,1.5e+08,1991.0,,"4,00E+05",,2,3.0,3,,,3,3,2,2,,2.0,,,,1.0,1.0,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,,,,,,2,,2,,,10.0,15.0,15,60,10,60,15,15,30,60,60,30,30,1,12000,2.0,2.0,1,11000,2.0,2.0,1,7000,2.0,2.0,2.0,,2.0,,20000,2.0,2.0,1,2.0,,27000,2.0,2.0,1,40000,2.0,2,2,,2,,2,,,,,,1.0,25000,2.0,3,24,1,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,99.0,,1,1.0,,,2.0,1,3,,5.0,,,,,,,,2,2,2,2,2,2,3,1,0.0,9.0,,,,,,,2,,,,2,,2,,2,,2,,,2,,,10000,2,,,1.0,,,,,,,2.0,2.0,2.0,,,,1.0,1.0,,3.0,2.0,6.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,30.0,12.0,,,6.0,6.0,3.0,1.0,,,,,,2.0,2.0,2.0,2.0
14,101208,1012081,10120812,08SEP2017:00:00:00,11001,15.262.601.216,USME,812.0,5.0,2,1.0,1,1,1,3,,2,2,2,2,2,1,2.0,3.0,4,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,,1.0,"1,00E+08",2004.0,,"5,00E+05",,2,3.0,1,70000,,3,3,3,3,,2.0,,,16.0,2.0,2.0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,,,,,,1,1.0,1,3.0,3.0,3.0,5.0,5,120,5,1,2,15,20,40,40,40,10,1,18000,2.0,2.0,1,15000,2.0,2.0,1,10000,2.0,2.0,2.0,,2.0,,30000,2.0,2.0,1,2.0,,5000,2.0,2.0,1,50000,2.0,2,1,3.0,2,,1,2.0,50000,2.0,,,1.0,23000,2.0,2,14,1,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,4.0,,1,1.0,,,,1,2,3.0,,,1.0,2.0,,30.0,,,2,2,1,2,2,2,1,2,,,,,,,,,2,,,,2,,1,0,1,0,2,,,1,2000,,5000,2,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,3.0,9.0,,2.0,,1.0,80000,1.0,,,15.0,"1,11001E+11",,,1.0,60.0,1.0,0.0,1500.0,2.0,,1.0,"3,00E+05",,1.0,20000,2.0,,,,,,,,20.0,6.0,20.0,8.0,40.0,16.0,10.0,4.0,4.0,10.0,5.0,2.0,1.0,1.0,,,,,,,
