,CODLOCALIDAD,NPCEP17,NPCEP4,NPCEP5,DPTOMPIO,NVCBP8B,NVCBP8H,NVCBP11AA,LOCALIDAD_TEX
0,11.0,6,39,1,11001,2,2,4.0,SUBA
1,1.0,6,22,2,11001,2,2,3.0,USAQUEN
2,1.0,6,29,2,11001,2,2,3.0,USAQUEN
3,1.0,6,11,1,11001,1,2,3.0,USAQUEN
4,11.0,6,37,2,11001,2,2,3.0,SUBA
5,11.0,6,86,1,11001,2,2,3.0,SUBA
6,11.0,6,65,2,11001,1,1,3.0,SUBA
7,11.0,6,52,2,11001,1,1,2.0,SUBA
8,11.0,6,15,1,11001,1,1,2.0,SUBA
9,13.0,6,26,2,11001,1,2,4.0,TEUSAQUILLO
10,10.0,6,18,1,11001,2,2,3.0,ENGATIVA
11,4.0,6,17,2,11001,2,2,2.0,SAN CRISTOBAL
12,5.0,6,24,1,11001,1,2,1.0,USME
13,5.0,6,14,1,11001,2,2,2.0,USME
14,5.0,6,27,2,11001,1,2,1.0,USME
15,6.0,6,74,2,11001,2,2,3.0,TUNJUELITO
16,6.0,6,28,1,11001,2,2,3.0,TUNJUELITO
17,19.0,6,16,2,11001,1,1,1.0,CIUDAD BOLIVAR
18,19.0,6,27,2,11001,1,1,2.0,CIUDAD BOLIVAR
19,11.0,6,13,2,11001,2,1,2.0,SUBA
20,11.0,6,27,2,11001,2,2,2.0,SUBA
21,12.0,6,66,1,11001,2,2,4.0,BARRIOS UNIDOS
22,12.0,6,19,2,11001,2,2,4.0,BARRIOS UNIDOS
23,12.0,6,63,1,11001,2,2,4.0,BARRIOS UNIDOS
24,10.0,6,36,1,11001,2,2,3.0,ENGATIVA
25,10.0,6,82,2,11001,2,2,3.0,ENGATIVA
26,10.0,6,27,2,11001,2,2,3.0,ENGATIVA
27,14.0,6,74,1,11001,2,1,3.0,LOS MARTIRES
28,14.0,6,11,1,11001,2,1,3.0,LOS MARTIRES
29,14.0,6,64,1,11001,2,2,3.0,LOS MARTIRES
30,14.0,6,13,1,11001,2,2,3.0,LOS MARTIRES
31,19.0,6,51,2,11001,2,2,1.0,CIUDAD BOLIVAR
32,19.0,6,24,1,11001,2,2,1.0,CIUDAD BOLIVAR
33,19.0,6,36,2,11001,2,2,2.0,CIUDAD BOLIVAR
34,19.0,6,21,1,11001,2,2,2.0,CIUDAD BOLIVAR
35,19.0,6,10,2,11001,2,1,1.0,CIUDAD BOLIVAR
36,19.0,6,6,1,11001,2,1,1.0,CIUDAD BOLIVAR
37,8.0,6,19,2,11001,2,2,2.0,KENNEDY
38,8.0,6,76,2,11001,2,2,2.0,KENNEDY
39,8.0,6,9,2,11001,2,2,2.0,KENNEDY
40,8.0,6,19,2,11001,2,2,2.0,KENNEDY
41,8.0,6,12,1,11001,2,2,2.0,KENNEDY
42,8.0,6,7,1,11001,2,2,2.0,KENNEDY
43,8.0,6,13,1,11001,1,2,3.0,KENNEDY
44,8.0,6,53,1,11001,2,2,2.0,KENNEDY
45,9.0,1,54,1,11001,2,2,3.0,FONTIBON
46,5.0,6,50,1,11001,1,2,1.0,USME
47,5.0,6,6,2,11001,2,2,1.0,USME
48,5.0,6,67,2,11001,2,2,1.0,USME
49,5.0,6,56,2,11001,2,2,2.0,USME
50,5.0,6,70,1,11001,2,2,2.0,USME
51,5.0,6,21,1,11001,2,2,2.0,USME
52,9.0,6,42,1,11001,2,2,3.0,FONTIBON
53,9.0,6,4,1,11001,2,2,3.0,FONTIBON
54,8.0,6,71,1,11001,2,2,3.0,KENNEDY
55,8.0,6,53,2,11001,2,2,3.0,KENNEDY
