,MPIO,COD_LOCALIDAD,NOMBRE_LOCALIDAD,NPCEP17,NPCEP4,NPCEP5,NVCBP8B,NVCBP8H,NVCBP11AA
0,11001,7.0,Bosa,6,70,2,2,2,2.0
1,11001,7.0,Bosa,6,60,2,1,1,2.0
2,11001,5.0,Usme,6,13,1,2,2,2.0
3,11001,9.0,Fontibon,6,38,1,2,2,2.0
4,11001,9.0,Fontibon,6,56,2,2,2,2.0
5,11001,4.0,San Cristobal,6,96,2,2,2,3.0
6,11001,4.0,San Cristobal,6,25,2,2,2,2.0
7,11001,11.0,Suba,6,70,1,2,2,3.0
8,11001,11.0,Suba,6,65,2,1,2,3.0
9,11001,11.0,Suba,6,76,2,1,2,3.0
10,11001,7.0,Bosa,6,79,2,2,2,2.0
11,11001,18.0,Rafael Uribe Uribe,6,28,1,1,2,2.0
12,11001,11.0,Suba,6,75,2,2,2,3.0
13,11001,11.0,Suba,6,17,2,2,2,3.0
14,11001,11.0,Suba,6,16,2,2,2,3.0
15,11001,8.0,Kennedy,6,43,2,2,2,2.0
16,11001,8.0,Kennedy,6,71,1,2,2,2.0
17,11001,9.0,Fontibon,6,25,2,2,2,3.0
18,11001,9.0,Fontibon,6,25,1,2,2,4.0
19,11001,18.0,Rafael Uribe Uribe,6,7,1,2,2,2.0
20,11001,6.0,Tunjuelito,6,71,2,2,2,2.0
21,11001,6.0,Tunjuelito,6,11,2,2,2,2.0
22,11001,6.0,Tunjuelito,6,64,2,2,2,2.0
23,11001,6.0,Tunjuelito,6,21,1,2,2,2.0
24,11001,9.0,Fontibon,6,41,2,2,2,4.0
25,11001,1.0,Usaquen,6,36,2,2,2,5.0
26,11001,13.0,Teusaquillo,6,36,1,2,2,4.0
27,11001,18.0,Rafael Uribe Uribe,6,60,2,9,9,2.0
28,11001,3.0,Santa Fe,6,64,2,1,2,2.0
29,11001,8.0,Kennedy,6,50,2,2,2,2.0
30,11001,8.0,Kennedy,6,30,2,1,2,2.0
31,11001,11.0,Suba,6,38,2,2,2,4.0
32,11001,1.0,Usaquen,6,72,1,2,2,4.0
33,11001,9.0,Fontibon,6,4,1,2,2,2.0
34,11001,4.0,San Cristobal,6,23,2,2,1,2.0
35,11001,18.0,Rafael Uribe Uribe,6,43,1,2,2,2.0
36,11001,18.0,Rafael Uribe Uribe,6,19,1,2,2,2.0
37,11001,18.0,Rafael Uribe Uribe,6,8,1,2,2,2.0
38,11001,9.0,Fontibon,6,52,1,2,2,4.0
39,11001,9.0,Fontibon,6,63,1,2,2,4.0
40,11001,10.0,Engativa,6,66,2,2,2,3.0
41,11001,12.0,Barrios Unidos,6,76,1,2,2,4.0
42,11001,16.0,Puente Aranda,6,86,2,1,2,3.0
43,11001,6.0,Tunjuelito,6,76,2,2,2,3.0
44,11001,19.0,Ciudad Bolivar,6,9,1,1,1,
45,11001,2.0,Chapinero,6,52,2,1,1,2.0
46,11001,2.0,Chapinero,6,83,1,1,2,2.0
47,11001,9.0,Fontibon,6,36,1,2,2,4.0
48,11001,19.0,Ciudad Bolivar,6,65,2,1,2,2.0
49,11001,2.0,Chapinero,6,31,2,2,2,4.0
50,11001,19.0,Ciudad Bolivar,6,68,1,2,2,2.0
51,11001,10.0,Engativa,6,10,2,2,2,3.0
52,11001,10.0,Engativa,6,66,1,1,2,3.0
53,11001,10.0,Engativa,6,78,2,2,2,3.0
54,11001,15.0,Antonio Nariño,6,72,1,1,2,3.0
55,11001,12.0,Barrios Unidos,6,18,1,2,2,3.0
56,11001,10.0,Engativa,6,74,2,2,2,3.0
57,11001,10.0,Engativa,6,79,1,2,2,3.0
58,11001,10.0,Engativa,6,51,2,2,2,3.0
59,11001,10.0,Engativa,6,85,2,2,2,3.0
60,11001,10.0,Engativa,6,69,2,2,2,3.0
61,11001,10.0,Engativa,6,71,2,2,2,3.0
62,11001,10.0,Engativa,6,28,1,2,2,3.0
63,11001,4.0,San Cristobal,6,13,1,2,2,2.0
64,11001,4.0,San Cristobal,6,8,1,2,2,2.0
65,11001,12.0,Barrios Unidos,6,62,1,2,1,3.0
66,11001,12.0,Barrios Unidos,6,24,1,2,1,3.0
67,11001,5.0,Usme,6,37,1,2,2,1.0
68,11001,15.0,Antonio Nariño,6,87,2,2,2,3.0
69,11001,15.0,Antonio Nariño,6,87,2,2,2,3.0
70,11001,8.0,Kennedy,6,51,2,1,2,3.0
71,11001,18.0,Rafael Uribe Uribe,6,47,2,2,2,2.0
72,11001,18.0,Rafael Uribe Uribe,6,27,1,2,2,1.0
73,11001,11.0,Suba,6,52,2,1,2,4.0
74,11001,8.0,Kennedy,6,44,2,2,2,3.0
75,11001,8.0,Kennedy,6,42,2,2,2,3.0
76,11001,5.0,Usme,6,12,1,2,2,1.0
77,11001,11.0,Suba,6,17,2,2,2,3.0
78,11001,16.0,Puente Aranda,6,42,1,2,2,3.0
79,11001,1.0,Usaquen,6,8,1,2,2,4.0
80,11001,1.0,Usaquen,6,21,2,2,1,1.0
81,11001,8.0,Kennedy,6,8,2,2,2,3.0
82,11001,9.0,Fontibon,6,29,2,2,2,2.0
83,11001,9.0,Fontibon,6,60,2,2,2,2.0
84,11001,9.0,Fontibon,6,37,1,2,2,2.0
85,11001,5.0,Usme,6,7,1,1,2,1.0
86,11001,9.0,Fontibon,6,34,2,2,2,2.0
87,11001,9.0,Fontibon,6,11,2,2,2,2.0
88,11001,1.0,Usaquen,6,75,2,1,2,3.0
89,11001,19.0,Ciudad Bolivar,6,48,1,2,2,3.0
90,11001,11.0,Suba,6,86,2,2,2,3.0
91,11001,7.0,Bosa,6,62,2,1,2,2.0
92,11001,8.0,Kennedy,6,20,1,1,2,2.0
93,11001,8.0,Kennedy,6,47,1,2,2,3.0
94,11001,8.0,Kennedy,6,9,1,2,2,3.0
95,11001,8.0,Kennedy,6,16,2,2,2,3.0
96,11001,8.0,Kennedy,6,23,2,2,2,3.0
97,11001,8.0,Kennedy,1,64,2,2,2,3.0
